"id_rubrique","nom","edito","titre_seo","seo","parent","ordre","active","dept","created","modified","modifier"
"1","Se balader",,,,"0","2","1",NULL,"2015-04-29 08:31:23","2019-06-26 20:23:03","kidiklik kidiklik"
"2","S&#39;éveiller",,,,"0","1","1",NULL,"2015-04-29 08:31:23","2019-04-03 08:21:41","Nicolas // 8a8aRuW1VArx Moinot"
"3","Visiter",,,,"0","23","1",NULL,"2015-04-29 08:31:23","2019-04-01 13:21:04",NULL
"4","Se défouler",,,,"0","0","1",NULL,"2015-04-29 08:31:23","2019-04-03 08:21:34","Nicolas // 8a8aRuW1VArx Moinot"
"5","Bons plans",,,,"0","3","1",NULL,"2015-04-29 08:31:23","2019-04-03 08:21:53","Nicolas // 8a8aRuW1VArx Moinot"
"6","Anniversaires",,,,"0","25","1",NULL,"2015-04-29 08:31:23","2018-11-13 07:50:27",NULL
"7","Au bord de l&#39;eau",,,,"1","0","1","50","2015-06-09 10:17:03","2020-01-16 13:51:13",NULL
"8","Langues &amp; cultures du monde",,,,"2","0","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"855","Activités pour tout petits",,,,"2","3","1","88","2020-02-01 16:54:00","2020-02-01 16:54:00","Responsable 87"
"10","Fermes &#38; cueillettes","Ici nous avons déniché pour vous les meilleures balades à faire avec les enfants près d'Angers. Le moyen le plus simple de se mettre au vert et prendre un grand bol d'air en famille !",,"Ici nous avons déniché pour vous les meilleures balades à faire avec les enfants près d'Angers. Le moyen le plus simple de se mettre au vert et prendre un grand bol d'air en famille !","1","2","1","50","2015-06-09 10:17:03","2020-01-16 13:51:13","Flavie Chiron"
"12","Musées dépoussiérés",,,,"3","0","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"13","Châteaux",,,,"3","1","1","50","2015-06-09 10:17:03","2021-02-19 14:08:11","Elea BOUVIER"
"14","Parcs &amp; balades",,,,"1","3","1","50","2015-06-09 10:17:03","2020-01-16 13:50:58",NULL
"16","Moulins",,,,"3","2","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"17","Les Festivals",,,,"2","1","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"18","Troglos",,,,"3","3","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"19","Villages &amp; vieilles pierres",,,,"3","5","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"20","Sites archéos",,,,"3","4","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"21","Artisanat",,,,"3","6","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"22","Au théâtre",,,,"2","2","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"23","Musique !",,,,"2","4","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"25","Toutes",,,,"7","0","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"26","Sciences &amp; nature",,,,"2","3","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"27","Contes &amp; merveilles",,,,"2","7","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"28","Eveil musical",,,,"2","6","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"29","Sports",,,,"4","0","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"30","Loisirs dedans",,,,"4","2","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"31","Loisirs dehors",,,,"4","3","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"32","Petits créatifs",,,,"2","5","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"33","Piscines",,,,"4","1","1","50","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"34","Toutes",,,,"7","0","1","45","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"35","Agenda culturel",,,,"2","5","1","45","2015-06-09 10:17:03","2020-06-23 12:42:46","Johann et Mylène Pailloux"
"36","Au bord de la mer",,,,"1","6","1","45","2015-06-09 10:17:03","2019-06-28 09:10:51",NULL
"37","Théâtre, spectacles, concerts",,,,"2","6","1","45","2015-06-09 10:17:03","2020-06-23 12:42:46","Johann et Mylène Pailloux"
"38","Bateaux",,,,"3","6","1","45","2015-06-09 10:17:03","2020-12-16 12:47:16",NULL
"39","Site classé",,,,"3","3","1","45","2015-06-09 10:17:03","2020-12-16 12:47:11","Johann et Mylène Pailloux"
"40","Villages &amp; vieilles pierres",,,,"3","2","1","45","2015-06-09 10:17:03","2020-12-16 12:47:08",NULL
"41","Petites bêtes",,,,"1","7","1","45","2015-06-09 10:17:03","2019-06-28 09:10:51",NULL
"42","Parcs d&#039;attractions",,,,"4","1","1","45","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"43","A dos d&#39;ânes",,,,"1","8","1","45","2015-06-09 10:17:03","2019-10-30 13:33:48","Johann et Mylène Pailloux"
"44","Animaux de la ferme ",,,,"1","1","1","45","2015-06-09 10:17:03","2019-06-28 09:10:46",NULL
"45","Ateliers nature, parcs &#38; balades",,,,"1","2","1","45","2015-06-09 10:17:03","2019-06-28 09:10:51","Anne-Cecile Bechu"
"46","Chateaux",,,,"3","1","1","45","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"47","Musées dépoussiérés",,,,"3","0","1","45","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"48","A cheval !",,,,"1","3","1","45","2015-06-09 10:17:03","2019-06-28 09:10:51",NULL
"49","Fermes &amp; cueillettes",,,,"1","4","1","45","2015-06-09 10:17:03","2019-06-28 09:10:51",NULL
"50","Zoos &amp; autres curiosités",,,,"1","0","1","45","2015-06-09 10:17:03","2019-06-28 09:10:40",NULL
